epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,105.068,0.90084,0.56776,1.00275,0.99677,0.88889,0.88673,0.72895,0.73554,0.48052,0.88868,0.0014159,0.0014159,0.0014159
61,106.588,0.92539,0.57206,1.01277,0.99669,0.88889,0.88695,0.72448,0.74033,0.46267,0.87723,0.001406,0.001406,0.001406
62,108.198,0.93935,0.58275,0.98033,0.99661,0.88889,0.88741,0.771,0.68592,0.42621,0.86451,0.0013961,0.0013961,0.0013961
63,109.917,0.95992,0.56506,1.03325,0.99617,0.88889,0.88818,0.74283,0.79574,0.45815,0.90705,0.0013862,0.0013862,0.0013862
64,111.481,0.93091,0.55045,1.02228,0.95937,0.83333,0.88221,0.67473,1.02169,0.58841,1.04865,0.0013763,0.0013763,0.0013763
65,113.133,0.91595,0.56602,1.00219,0.99453,0.88889,0.88805,0.50807,1.83887,0.79227,1.39478,0.0013664,0.0013664,0.0013664
66,114.705,0.94872,0.56039,1.01886,0.99503,0.88889,0.88883,0.6295,1.12243,0.55349,1.02506,0.0013565,0.0013565,0.0013565
67,116.308,1.07254,0.60054,1.10167,0.99521,0.88889,0.88873,0.59217,1.35334,0.62369,1.16413,0.0013466,0.0013466,0.0013466
68,117.901,1.06409,0.58716,1.02436,0.9957,0.88889,0.8913,0.71526,0.87713,0.53495,0.93957,0.0013367,0.0013367,0.0013367
69,119.466,0.94546,0.56566,0.98341,0.99512,0.88889,0.88648,0.72558,0.82142,0.51125,0.93347,0.0013268,0.0013268,0.0013268
70,121.064,1.07643,0.61186,1.10149,0.98295,0.88889,0.8861,0.69865,0.87096,0.56591,0.973,0.0013169,0.0013169,0.0013169
71,122.655,0.94659,0.55881,1.0306,0.9851,0.88889,0.88616,0.74284,0.7397,0.50386,0.89423,0.001307,0.001307,0.001307
72,124.283,0.99336,0.54995,1.01587,0.99165,0.88889,0.88713,0.75786,0.68791,0.47218,0.8686,0.0012971,0.0012971,0.0012971
73,125.809,0.94986,0.53489,1.02539,0.99266,0.88889,0.88808,0.70379,0.79172,0.48529,0.8889,0.0012872,0.0012872,0.0012872
74,127.386,0.94041,0.53029,1.02675,0.99455,0.88889,0.89049,0.73621,0.74345,0.48255,0.88693,0.0012773,0.0012773,0.0012773
75,129.155,0.92409,0.56304,1.01848,0.99637,0.88889,0.89544,0.74483,0.78432,0.48095,0.89887,0.0012674,0.0012674,0.0012674
76,130.925,0.96731,0.55023,1.00787,0.99604,0.88889,0.89919,0.72879,0.81685,0.45775,0.90154,0.0012575,0.0012575,0.0012575
77,132.559,0.96949,0.58559,1.0609,0.99602,0.88889,0.89919,0.70375,0.864,0.45942,0.90619,0.0012476,0.0012476,0.0012476
78,134.235,0.94108,0.55122,1.01323,0.99625,0.88889,0.90139,0.76335,0.70362,0.44386,0.86807,0.0012377,0.0012377,0.0012377
79,135.985,0.9338,0.55654,0.99168,0.99643,0.88889,0.9066,0.7595,0.76019,0.41964,0.87524,0.0012278,0.0012278,0.0012278
